Reference,URL,Citation,Notes
"doi:10.1016/j.synthmet.2019.116137","https://doi.org/10.1016/j.synthmet.2019.116137","","Add table number / supplemental link if needed"
"doi:10.1016/j.electacta.2020.136739","https://doi.org/10.1016/j.electacta.2020.136739","","
"
